127.0.0.1 - - [29/Apr/2021:09:39:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/blog.html HTTP/1.1" 200 16227
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/slicknav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:09:39:50 +0900] "GET /Team_Proj/citylisting-master/assets/js/bootstrap.min.js HTTP/1.1" 304 -
